name,latitude,longitude,stars,review_count
the great canadian bagel,53.5124790235,-113.3277380958,4.0,9
safeway,53.531001,-113.2933251,3.5,5
tim hortons,53.5654409361,-113.2717020532,2.0,5
mary browns famous chicken and taters,53.5654205421,-113.2717236934,3.0,5
kobachi,53.5265760754,-113.2990042282,5.0,9
clark's restaurant,53.543156,-113.312267,3.5,7
la patrona,53.5369383044,-113.3208448067,4.5,77
sumo sumo sushi bar & grill,53.556447554,-113.3187389374,3.5,115
new asian village sherwood park,53.5367667,-113.3194178,4.0,24
blaze pizza,53.567674601,-113.2824233129,4.0,8
chop steakhouse & bar,53.5644853,-113.296591,4.5,11
huku,53.512526,-113.317913,3.0,14
burger baron,53.5126835931,-113.3274177139,4.0,7
enzo's to go,53.5129169,-113.3272667,2.5,8
original joe's restaurant & bar,53.5114312,-113.3124216,4.0,20
famoso neapolitan pizzeria,53.5399907,-113.321455,4.0,37
pizza box,53.5561829,-113.3178625,3.0,5
headquarters restaurant and bar,53.5285641466,-113.2912640142,4.0,7
china kitchen,53.5134243492,-113.322301807,3.5,7
papa john's pizza,53.5131906973,-113.3227943438,4.0,6
firecrust custom salads + pizzas,53.5416368,-113.2948232,4.0,9
edo japan,53.531001,-113.2933251,4.0,6
oscars pub,53.537791,-113.323938,4.0,20
local sherwood park,53.5419252125,-113.3192159633,3.0,54
tim hortons,53.5417148775,-113.318196909,2.5,11
nando's,53.5647027,-113.2933915,2.5,5
thai together,53.555171,-113.293888,4.5,32
